avalanche.id;date;date.quality;hydrological.year;canton;local.name;start.zone.coordinates.x;start.zone.coordinates.y;coordinates.quality;start.zone.elevation;start.zone.slope.aspect;start.zone.inclination;forecasted.dangerlevel;number.dead;number.caught;number.fully.buried;activity
20501;27.02.2001;0;2000/01;NW;Schwalmis;8.494835239047239;46.91859983658827;25;2140;N;39;3;1;2;2;tour
20505;05.03.2001;0;2000/01;GR;;9.359554544929125;46.52367224146841;25;2660;N;40;3;1;3;2;tour
20508;13.03.2001;0;2000/01;VS;;8.04424095004228;46.23081023820348;25;2500;SW;40;3;1;1;1;tour
20519;29.03.2001;0;2000/01;GR;Piz Valdraus / Glatscher da Lavaz;8.939836552432388;46.62815211475076;25;2540;NNW;35;2;1;4;3;tour
20526;19.05.2001;0;2000/01;GR;;9.962458857277039;46.37903405280356;25;3800;N;42;NA;2;2;1;tour
20527;24.05.2001;0;2000/01;BE;;7.9753207368097785;46.56346540656356;25;2740;NW;NA;NA;1;2;1;tour
20528;23.06.2001;0;2000/01;BE;;8.021439601745236;46.58293952390681;25;3340;SSE;NA;NA;2;2;1;tour
20605;28.12.2001;0;2001/02;SG;Zieger / Flumserberg;9.250140196152268;47.067900152624;100;2060;SSE;35;3;1;1;1;offpiste
20618;31.12.2001;0;2001/02;VS;;7.284749624314001;46.103150072148225;25;2700;NNE;38;3;1;4;1;offpiste
20624;02.01.2002;0;2001/02;BE;Galmschibe / Oberes Chirgeli / Diemtigtal;7.5280758427371035;46.54647923167849;100;2360;NNW;40;3;1;1;1;tour
20628;03.01.2002;0;2001/02;GR;Parsenn / Casanna / Rude Dudehang;9.815036579992887;46.85533736610445;25;2400;W;45;3;1;1;1;offpiste
20633;13.01.2002;0;2001/02;GR;Amtmanntobel Totalp;9.830084224076135;46.836754094733266;25;2240;E;37;2;1;1;1;offpiste
20634;13.01.2002;0;2001/02;BE;;7.818003379533368;46.52244906446409;25;2975;WNW;39;1;2;3;1;tour
20638;30.01.2002;0;2001/02;UR;Fellital - Schattig-Wichel / Fuorcla  da Giuv;8.686872503523864;46.69607199389553;25;2910;NNW;43;2;1;1;1;tour
20639;02.02.2002;0;2001/02;GR;Farurtal / Parpaner Schwarzhorn;9.592690465187097;46.77362302152612;25;2500;NW;39;2;1;1;1;offpiste
20645;13.02.2002;0;2001/02;BE;Schilthorn / Birg;7.861444364482009;46.5613362500853;25;2450;E;37;2;1;1;1;offpiste
20650;24.02.2002;0;2001/02;VS;;7.20005499645899;46.04192246317407;100;2200;N;37;3;1;1;1;offpiste
20651;25.02.2002;0;2001/02;VS;Mt. Dolin;7.46640368233607;46.02669963445527;25;2480;SE;40;3;1;2;1;offpiste
20653;28.02.2002;0;2001/02;VS;Deischbach - Volli / Bettmeralp;8.088644107087173;46.39941644435177;25;2070;E;45;3;1;1;1;offpiste
20655;05.03.2002;0;2001/02;BE;Oldenegg;7.2427355811750935;46.350466233671305;25;1900;NNE;NA;3;1;1;1;offpiste
20656;05.03.2002;0;2001/02;GR;Piz Vallatscha;10.318073716016011;46.6679725725364;25;2750;ESE;40;3;3;5;4;tour
20657;06.03.2002;0;2001/02;VD;La Para / La Pare;7.1534457258758195;46.383110316994134;100;2450;NE;NA;2;1;1;1;tour
20665;21.04.2002;0;2001/02;BE;Doldenhorn;7.73131859193954;46.47053000637854;100;3450;NW;NA;2;1;1;1;tour
20667;27.04.2002;0;2001/02;VS;Mont Velan / Bourg St Bernhard;7.245271849921866;45.89394555592855;25;3600;SW;45;2;2;2;0;tour
20668;28.04.2002;0;2001/02;VS;;8.325210524195391;46.44945396786538;100;3020;N;37;2;1;1;1;tour
20669;28.04.2002;0;2001/02;GR;Piz Grialetsch;9.95246427828378;46.69399664474603;25;3050;N;45;2;1;1;1;tour
20673;13.08.2002;0;2001/02;BE;Eiger W-Flanke;7.990451978668876;46.576436696904985;250;2900;W;NA;NA;1;2;0;tour
20801;03.11.2002;0;2002/03;VS;Sphinxstollen / Jungfraujoch;7.986573975481733;46.54784916547337;25;3480;SE;NA;NA;1;2;1;tour
20829;29.12.2002;0;2002/03;GR;Skigebiet Savognin;9.533507511067784;46.561858167791826;25;2220;NNE;NA;3;2;5;2;offpiste
